"ID";"ErgZei";"Typ"
200;"4 10 Rudergesellschaft Heidelberg 1898 e.V. (Boot 1) 4:30.69";
201;"Anna-Lena Kelle +0:33.66";
202;"5 6 Karlsruher Ruder-Verein Wiking von 1879 e.V. (Boot 2) 4:41.17";
203;"Lena Weinhardt +0:44.13";
204;"Schiedsrichter: FALK, Mary Carol (Ladenburg, GER)";
205;"Vorlauf 3";
206;"Rang StNr Boot/Mannschaft Ergebnis";
207;"1 16 Ulmer Ruderclub Donau e.V. (Boot 1) 3:59.40";
208;"Lisa Denkinger-Rueda";
209;"2 17 Mannheimer Regatta-Verein e.V. (Boot 3) 4:05.79";
210;"Karla Müller +0:06.39";
211;"3 14 Lauffener Ruderclub ""Neckar"" e.V. 1931 4:09.75";
212;"Luisa Lindenmann +0:10.35";
213;"4 15 Rudergesellschaft Heidelberg 1898 e.V. (Boot 3) 4:28.87";
214;"Marie Kindler +0:29.46";
215;"5 18 Ruderverein Waldsee 1900 e.V. 4:34.47";
216;"Mathilda Sonnberger +0:35.06";
217;"Schiedsrichter: LANDMANN, Lucas (Breisach, GER)";
1;"Rennen 101 - MF 1x C, Masters-Frauen-Einer C";
2;"Finale";
3;"Rang StNr Boot/Mannschaft Ergebnis";
4;"1 4 Karlsruher Rheinklub Alemannia e.V. 4:08.05";
5;"Claudia Ciescholka";
6;"2 2 Ruderclub Nürtingen e.V. 4:11.01";
7;"Tanja Knöll +0:02.96";
8;"3 3 Breisacher Ruderverein e.V. (Boot 1) 4:11.71";
9;"Susanne Schäfer +0:03.66";
10;"4 1 Breisacher Ruderverein e.V. (Boot 2) 5:25.75";
11;"Christiane Kürz +1:17.70";
12;"Schiedsrichter: FALK, Mary Carol (Ladenburg, GER)";
13;"Rennen 102 - JM 4x+ B, Junioren-Doppelvierer m. St. B";
14;"Vorlauf 1";
15;"Rang StNr Boot/Mannschaft Ergebnis";
16;"1 4 Stuttgart-Cannstatter Ruderclub von 1910 e.V. 3:23.57";
17;"Alexander Nagel, Karl Geiß, Philipp Jurkat, Samuel Kilgus, St. Florentin Kopf";
18;"2 1 Ruderverein 'Neptun' e.V. Konstanz gegründet 1885 3:31.40";
19;"Laslo Seeliger, Leon Scholten, Ole Vogel, Henri Leforestier, St. Marla Pattathu +0:07.83";
20;"3 2 Rgm. Mannheimer Regatta-Verein / Mannheimer RV Amicitia (Boot 2) 3:37.16";
21;"Juri Thiel, Jan Keller, Constantin Köster, Luuk Leswin, St. Johanna Englert +0:13.58";
22;"4 3 Ruderclub Nürtingen e.V. (Boot 1) 3:46.81";
23;"Finn Otto, Oskar vom Stein, Linus Kühlcke, Julian Lukas Gruber, St. Emma +0:23.24";
24;"Schlauersbach";
25;"Schiedsrichter: BRÜHE, Beate (Ludwigshafen, GER)";
26;"Vorlauf 2";
27;"Rang StNr Boot/Mannschaft Ergebnis";
28;"1 5 Karlsruher Ruder-Verein Wiking von 1879 e.V. 3:18.73";
29;"Wim Fischer, Henri Papp, Toni Detscher, Laurens Ochmann, St. Benedikt Schmidt";
30;"2 7 Mannheimer Regatta-Verein e.V. (Boot 1) 3:22.20";
31;"Luis Leicht, Cornelius Tens, Jón Mensing, Bjarne Orth, St. Orlando Reeg +0:03.47";
32;"3 6 Ruderclub Nürtingen e.V. (Boot 2) 3:23.91";
33;"Ben Werner, Emil Semmig, Moritz Heider, Tim Lischke, St. Micha Daniel Hümpfner +0:05.18";
34;"4 8 Heidelberger Ruderklub 1872 e.V. 3:24.16";
35;"Paul Seelinger, Magnus Remus, Paul Roder, Tobia Lovera, St. Carlo Johnsson +0:05.43";
36;"Schiedsrichter: BAUDER, Kurt (Mannheim, GER)";
37;"Internet: https://breisacher-ruderverein.de Seite 1/46";
38;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
218;"Internet: https://breisacher-ruderverein.de Seite 5/46";
219;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
220;"Finale";
221;"Rang StNr Boot/Mannschaft Ergebnis";
222;"1 3 Rudergesellschaft Heidelberg 1898 e.V. (Boot 2) 4:06.02";
223;"Carla Zajonc";
224;"2 11 Stuttgarter Rudergesellschaft von 1899 e.V. 4:08.97";
225;"Caitlin Morton +0:02.94";
226;"3 16 Ulmer Ruderclub Donau e.V. (Boot 1) 4:14.98";
227;"Lisa Denkinger-Rueda +0:08.95";
228;"4 13 Marbacher Ruderverein von 1920 e.V. 4:17.59";
229;"Aurelia Hammer +0:11.56";
230;"5 4 Mannheimer Regatta-Verein e.V. (Boot 2) 4:27.56";
231;"Isa Charlotte Jaclin +0:21.53";
232;"6 17 Mannheimer Regatta-Verein e.V. (Boot 3) 4:30.82";
233;"Karla Müller +0:24.79";
234;"Schiedsrichter: BRANDT, Joachim (Abstatt, GER)";
235;"Abmeldungen";
236;"7 Breisacher RV";
237;"9 Mannheimer Regatta-Verein (Boot 1)";
238;"12 RG Waiblingen";
239;"Rennen 109 - Jung 4x+ 13+14, Jungen-Doppelvierer m. St. 13 u. 14 Jahre";
240;"Vorlauf 1";
241;"Rang StNr Boot/Mannschaft Ergebnis";
242;"1 4 Heidelberger Ruderklub 1872 e.V. 3:41.97";
243;"Leo Neusius, Morten Micol, Emilio Campagnolo, Pascal Hamann Velasco, St. Max";
244;"Ortmann";
245;"2 3 Stuttgart-Cannstatter Ruderclub von 1910 e.V. 3:54.69";
246;"Lennard Bohne, Daniel Häckel, Jonas Clemens, Kubilay Ceylan, St. Vukasin Vasin +0:12.72";
247;"3 2 Ruderverein Esslingen e.V. 4:09.39";
248;"Leonard Pottgiesser, Fabian Linssen, Konrad Stolz, Maximilian Zenzinger, +0:27.41";
249;"St. Alexander Büttner";
250;"4 1 Ruderverein 'Neptun' e.V. Konstanz gegründet 1885 4:18.12";
251;"Lion Khalsi, Tim Kellner, Lorenz Orsho, Max Jaudes, St. Marla Pattathu +0:36.15";
252;"Schiedsrichter: KORGITZSCH, Frank-Michael (Bad Dürkheim, GER)";
253;"Vorlauf 2";
254;"Rang StNr Boot/Mannschaft Ergebnis";
255;"1 6 Ruderclub Nürtingen e.V. 3:45.88";
256;"Konrad Knopf, Joel Popowicz, Leo Werner, Neo Bartel, St. Marlon Reise";
257;"2 8 Ruderclub Undine e.V. Radolfzell 3:46.86";
258;"Fynn Feldschmid, Tom Lietzenau, Julius Vogel, Jannis Krey, St. Joel Rottmann +0:00.97";
259;"3 7 Mannheimer RV Amicitia von 1876 3:52.04";
260;"Jakob Wolf, Lorenz Jobst Quilitz, Oguzhan Alan, Arnold Englert, St. David Kuhn +0:06.15";
261;"4 5 Rudergesellschaft Heidelberg 1898 e.V. 4:15.84";
262;"Ilia Kozienko, Gregor Weber, Julius Keinath, Snaebjörn Marteinsson, St. Piontele +0:29.96";
263;"Anna-Katharina";
264;"Schiedsrichter: MOLLY, Markus (Winterlingen, GER)";
265;"Internet: https://breisacher-ruderverein.de Seite 6/46";
266;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
267;"Finale";
268;"Rang StNr Boot/Mannschaft Ergebnis";
269;"1 4 Heidelberger Ruderklub 1872 e.V. 3:51.47";
270;"Leo Neusius, Max Ortmann, Emilio Campagnolo, Pascal Hamann Velasco, St. Morten";
271;"Micol";
272;"2 2 Ruderverein Esslingen e.V. 3:52.95";
273;"Leonard Pottgiesser, Fabian Linssen, Konrad Stolz, Maximilian Zenzinger, +0:01.47";
274;"St. Alexander Büttner";
275;"3 6 Ruderclub Nürtingen e.V. 3:56.34";
276;"Konrad Knopf, Joel Popowicz, Leo Werner, Neo Bartel, St. Marlon Reise +0:04.86";
277;"4 8 Ruderclub Undine e.V. Radolfzell 4:01.17";
278;"Fynn Feldschmid, Tom Lietzenau, Julius Vogel, Jannis Krey, St. Felix Groll +0:09.70";
279;"5 7 Mannheimer RV Amicitia von 1876 4:06.60";
280;"Jakob Wolf, Lorenz Jobst Quilitz, Oguzhan Alan, Arnold Englert, St. Fabio Quilitz +0:15.12";
281;"6 3 Stuttgart-Cannstatter Ruderclub von 1910 e.V. 4:07.41";
