1;Schnulli Bulli;id;inhalt;quelle
78;Schnulli Bulli;77;4 4 GBR (b) MURRAY Samuel M 1:41.44 (2) 3:30.27 (3) 5:20.47 (3) 7:09.41 4;Sammelmappe1.pdf (Seite 3)
79;Schnulli Bulli;78;(s) CADDICK Annabel F 1:48.83 (4) 1:50.20 (6) 1:48.94 (5);Sammelmappe1.pdf (Seite 3)
80;Schnulli Bulli;79;0.60 5.03 9.34 10.77;Sammelmappe1.pdf (Seite 3)
81;Schnulli Bulli;80;5 6 AIN (b) PISKUNOVA Anna F 1:47.92 (6) 3:37.24 (6) 5:26.33 (6) 7:12.26 5;Sammelmappe1.pdf (Seite 3)
82;Schnulli Bulli;81;(s) VORONOV Anton M 1:49.32 (6) 1:49.09 (2) 1:45.93 (3);Sammelmappe1.pdf (Seite 3)
83;Schnulli Bulli;82;7.08 12.00 15.20 13.62;Sammelmappe1.pdf (Seite 3)
84;Schnulli Bulli;83;6 1 FRA (b) DAVID Eva F 1:46.74 (5) 3:35.22 (5) 5:24.65 (5) 7:17.23 6;Sammelmappe1.pdf (Seite 3)
85;Schnulli Bulli;84;(s) CADOT Laurent M 1:48.48 (3) 1:49.43 (3) 1:52.58 (6);Sammelmappe1.pdf (Seite 3)
86;Schnulli Bulli;85;5.90 9.98 13.52 18.59;Sammelmappe1.pdf (Seite 3)
87;Schnulli Bulli;86;Legend:;Sammelmappe1.pdf (Seite 3)
88;Schnulli Bulli;87;F Female M Male WCHB;Sammelmappe1.pdf (Seite 3)
89;Schnulli Bulli;88;b bow s stroke;Sammelmappe1.pdf (Seite 3)
90;Schnulli Bulli;89;F Final;Sammelmappe1.pdf (Seite 3)
91;Schnulli Bulli;90;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 3)
92;Schnulli Bulli;91;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 3)
93;Schnulli Bulli;92;Report Created SUN 28 SEP 2025 / 14:12;Sammelmappe1.pdf (Seite 3)
94;Schnulli Bulli;93;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 4)
95;Schnulli Bulli;94;1 Results W2-;Sammelmappe1.pdf (Seite 4)
96;Schnulli Bulli;95;(Event) Women's Pair FA;Sammelmappe1.pdf (Seite 4)
97;Schnulli Bulli;96;THU 25 SEP 2025 Race 89;Sammelmappe1.pdf (Seite 4)
98;Schnulli Bulli;97;World Best: NZL PRENDERGAST Grace / WILLIAMS Kerri Tokyo (JPN) 2021 Olympic Games 6:47.41;Sammelmappe1.pdf (Seite 4)
99;Schnulli Bulli;98;World Champ' Best: GBR GLOVER Helen / STANNING Heather Amsterdam (NED) 2014 World Championships 6:50.61;Sammelmappe1.pdf (Seite 4)
100;Schnulli Bulli;99;World Champion: NED CLEVERING Ymkje / MEESTER Veronique Belgrade (SRB) 2023 World Championships 7:20.52;Sammelmappe1.pdf (Seite 4)
101;Schnulli Bulli;100;Ctry Total;Sammelmappe1.pdf (Seite 4)
102;Schnulli Bulli;101;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 4)
103;Schnulli Bulli;102;Code Rank;Sammelmappe1.pdf (Seite 4)
104;Schnulli Bulli;103;1 6 ROU (b) RUSU Maria Magdalena 1:44.19 (1) 3:31.52 (1) 5:20.20 (1) 7:08.52 1;Sammelmappe1.pdf (Seite 4)
105;Schnulli Bulli;104;(s) RADIS Simona 1:47.33 (2) 1:48.68 (2) 1:48.32 (2);Sammelmappe1.pdf (Seite 4)
106;Schnulli Bulli;105;2 5 FRA (b) CORNELIS Emma 1:45.71 (3) 3:32.81 (2) 5:23.06 (2) 7:13.31 2;Sammelmappe1.pdf (Seite 4)
107;Schnulli Bulli;106;(s) PERON Hezekia 1:47.10 (1) 1:50.25 (3) 1:50.25 (3);Sammelmappe1.pdf (Seite 4)
108;Schnulli Bulli;107;1.52 1.29 2.86 4.79;Sammelmappe1.pdf (Seite 4)
